rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,16585,1,2011-07-04,0,0,16950
2,Andy Murray,United Kingdom,GBR,8945,1,2016-11-07,0,0,12685
3,Roger Federer,Switzerland,SUI,8265,1,2004-02-02,0,0,12315
4,Stan Wawrinka,Switzerland,SUI,6865,3,2014-01-27,0,0,6865
5,Rafael Nadal,Spain,ESP,5230,1,2008-08-18,0,0,15390
6,Tomas Berdych,Czech Republic,CZE,4620,4,2015-05-18,0,0,5230
7,David Ferrer,Spain,ESP,4305,3,2013-07-08,0,0,7220
8,Kei Nishikori,Japan,JPN,4235,4,2015-03-02,0,0,6385
9,Richard Gasquet,France,FRA,2850,7,2007-07-09,0,0,3365
10,Jo Wilfried Tsonga,France,FRA,2635,5,2012-02-27,0,0,5230
11,John Isner,United States,USA,2495,8,2018-07-16,0,0,3720
12,Kevin Anderson,South Africa,RSA,2475,5,2018-07-16,0,0,4845
13,Marin Cilic,Croatia,CRO,2405,3,2018-01-29,0,0,5155
14,Milos Raonic,Canada,CAN,2170,3,2016-11-21,0,0,5450
15,Gilles Simon,France,FRA,2145,6,2009-01-05,0,0,4170
16,David Goffin,Belgium,BEL,1880,7,2017-11-20,0,0,3775
17,Feliciano Lopez,Spain,ESP,1690,12,2015-03-02,0,0,2415
18,Bernard Tomic,Australia,AUS,1675,17,2016-01-11,0,0,1885
19,Benoit Paire,France,FRA,1633,18,2016-01-11,0,0,1805
20,Dominic Thiem,Austria,AUT,1600,3,2020-03-02,0,0,9125
