rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,11360,1,2011-07-04,0,0,16950
2,Roger Federer,Switzerland,SUI,9775,1,2004-02-02,0,0,12315
3,Rafael Nadal,Spain,ESP,6835,1,2008-08-18,0,0,15390
4,Stan Wawrinka,Switzerland,SUI,5370,3,2014-01-27,0,0,6865
5,Kei Nishikori,Japan,JPN,5025,4,2015-03-02,0,0,6385
6,Andy Murray,United Kingdom,GBR,4675,1,2016-11-07,0,0,12685
7,Tomas Berdych,Czech Republic,CZE,4600,4,2015-05-18,0,0,5230
8,Milos Raonic,Canada,CAN,4440,3,2016-11-21,0,0,5450
9,Marin Cilic,Croatia,CRO,4150,3,2018-01-29,0,0,5155
10,David Ferrer,Spain,ESP,4045,3,2013-07-08,0,0,7220
11,Grigor Dimitrov,Bulgaria,BUL,3645,3,2017-11-20,0,0,5150
12,Jo Wilfried Tsonga,France,FRA,2740,5,2012-02-27,0,0,5230
13,Ernests Gulbis,Latvia,LAT,2455,10,2014-06-09,0,0,2725
14,Feliciano Lopez,Spain,ESP,2130,12,2015-03-02,0,0,2415
15,Roberto Bautista Agut,Spain,ESP,2110,9,2019-11-04,0,0,3215
16,Kevin Anderson,South Africa,RSA,2080,5,2018-07-16,0,0,4845
17,Tommy Robredo,Spain,ESP,2015,5,2006-08-28,0,0,2770
18,Gael Monfils,France,FRA,1900,6,2016-11-07,0,0,3815
19,John Isner,United States,USA,1890,8,2018-07-16,0,0,3720
20,Fabio Fognini,Italy,ITA,1790,9,2019-07-15,0,0,2920
