rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,13630,1,2011-07-04,0,0,16950
2,Rafael Nadal,Spain,ESP,9595,1,2008-08-18,0,0,15390
3,Roger Federer,Switzerland,SUI,8170,1,2004-02-02,0,0,12315
4,Andy Murray,United Kingdom,GBR,7380,1,2016-11-07,0,0,12685
5,David Ferrer,Spain,ESP,4925,3,2013-07-08,0,0,7220
6,Jo Wilfried Tsonga,France,FRA,4335,5,2012-02-27,0,0,5230
7,Tomas Berdych,Czech Republic,CZE,3700,4,2015-05-18,0,0,5230
8,Mardy Fish,United States,USA,2965,7,2011-08-15,0,0,3060
9,Janko Tipsarevic,Serbia,SRB,2595,8,2012-04-02,0,0,3320
10,Nicolas Almagro,Spain,ESP,2380,9,2011-05-02,0,0,2735
11,Juan Martin Del Potro,Argentina,ARG,2315,3,2018-08-13,0,0,6825
12,Gilles Simon,France,FRA,2165,6,2009-01-05,0,0,4170
13,Robin Soderling,Sweden,SWE,2120,4,2010-11-15,0,0,6055
14,Andy Roddick,United States,USA,1940,1,2003-11-03,0,0,5800
15,Alexandr Dolgopolov,Ukraine,UKR,1925,13,2012-01-16,0,0,2030
16,Gael Monfils,France,FRA,1910,6,2016-11-07,0,0,3815
17,Stan Wawrinka,Switzerland,SUI,1820,3,2014-01-27,0,0,6865
18,John Isner,United States,USA,1800,8,2018-07-16,0,0,3720
19,Richard Gasquet,France,FRA,1765,7,2007-07-09,0,0,3365
20,Feliciano Lopez,Spain,ESP,1755,12,2015-03-02,0,0,2415
