rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,12450,1,2008-08-18,0,0,15390
2,Roger Federer,Switzerland,SUI,9145,1,2004-02-02,0,0,12315
3,Novak Djokovic,Serbia,SRB,6240,1,2011-07-04,0,0,16950
4,Andy Murray,United Kingdom,GBR,5760,1,2016-11-07,0,0,12685
5,Robin Soderling,Sweden,SWE,5580,4,2010-11-15,0,0,6055
6,Tomas Berdych,Czech Republic,CZE,3955,4,2015-05-18,0,0,5230
7,David Ferrer,Spain,ESP,3735,3,2013-07-08,0,0,7220
8,Andy Roddick,United States,USA,3665,1,2003-11-03,0,0,5800
9,Fernando Verdasco,Spain,ESP,3240,7,2009-04-20,0,0,3900
10,Mikhail Youzhny,Russian Federation,RUS,2920,8,2008-01-28,0,0,3500
11,Jurgen Melzer,Austria,AUT,2785,8,2011-04-18,0,0,3055
12,Gael Monfils,France,FRA,2560,6,2016-11-07,0,0,3815
13,Jo Wilfried Tsonga,France,FRA,2345,5,2012-02-27,0,0,5230
14,Marin Cilic,Croatia,CRO,2300,3,2018-01-29,0,0,5155
15,Nicolas Almagro,Spain,ESP,2160,9,2011-05-02,0,0,2735
16,Mardy Fish,United States,USA,1991,7,2011-08-15,0,0,3060
17,Ivan Ljubicic,Croatia,CRO,1965,3,2006-05-01,0,0,3315
18,Sam Querrey,United States,USA,1860,11,2018-02-26,0,0,2595
19,John Isner,United States,USA,1850,8,2018-07-16,0,0,3720
20,Marcos Baghdatis,Cyprus,CYP,1785,8,2006-08-21,0,0,2111
