rank,name,country_name,country_id,count,lastDate
1,Rafael Nadal,Spain,ESP,17,2019-08-26
2,Novak Djokovic,Serbia,SRB,16,2019-07-01
3,Roger Federer,Switzerland,SUI,11,2018-01-15
4,Andy Murray,United Kingdom,GBR,3,2016-06-27
4,Stan Wawrinka,Switzerland,SUI,3,2016-08-29
6,Juan Martin Del Potro,Argentina,ARG,1,2009-08-31
6,Marin Cilic,Croatia,CRO,1,2014-08-25
