rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,6675,1,2008-08-18,0,0,15390
2,Roger Federer,Switzerland,SUI,5305,1,2004-02-02,0,0,12315
3,Novak Djokovic,Serbia,SRB,5295,1,2011-07-04,0,0,16950
4,Andy Murray,United Kingdom,GBR,3720,1,2016-11-07,0,0,12685
5,Nikolay Davydenko,Russian Federation,RUS,2715,3,2006-11-06,0,0,5335
6,Jo Wilfried Tsonga,France,FRA,2050,5,2012-02-27,0,0,5230
7,Gilles Simon,France,FRA,1980,6,2009-01-05,0,0,4170
8,Andy Roddick,United States,USA,1970,1,2003-11-03,0,0,5800
9,Juan Martin Del Potro,Argentina,ARG,1945,3,2018-08-13,0,0,6825
10,James Blake,United States,USA,1775,4,2006-11-20,0,0,3550
11,David Nalbandian,Argentina,ARG,1725,3,2006-03-20,0,0,3500
12,David Ferrer,Spain,ESP,1695,3,2013-07-08,0,0,7220
13,Stan Wawrinka,Switzerland,SUI,1510,3,2014-01-27,0,0,6865
14,Gael Monfils,France,FRA,1475,6,2016-11-07,0,0,3815
15,Fernando Gonzalez,Chile,CHI,1420,5,2007-01-29,0,0,3285
16,Fernando Verdasco,Spain,ESP,1415,7,2009-04-20,0,0,3900
17,Robin Soderling,Sweden,SWE,1325,4,2010-11-15,0,0,6055
18,Nicolas Almagro,Spain,ESP,1270,9,2011-05-02,0,0,2735
19,Igor Andreev,Russian Federation,RUS,1245,18,2008-11-03,0,0,2490
20,Tomas Berdych,Czech Republic,CZE,1215,4,2015-05-18,0,0,5230
