rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,7180,1,2004-02-02,0,0,12315
2,Rafael Nadal,Spain,ESP,5735,1,2008-08-18,0,0,15390
3,Novak Djokovic,Serbia,SRB,4470,1,2011-07-04,0,0,16950
4,Nikolay Davydenko,Russian Federation,RUS,2825,3,2006-11-06,0,0,5335
5,David Ferrer,Spain,ESP,2750,3,2013-07-08,0,0,7220
6,Andy Roddick,United States,USA,2530,1,2003-11-03,0,0,5800
7,Fernando Gonzalez,Chile,CHI,2005,5,2007-01-29,0,0,3285
8,Richard Gasquet,France,FRA,1930,7,2007-07-09,0,0,3365
9,David Nalbandian,Argentina,ARG,1775,3,2006-03-20,0,0,3500
10,Tommy Robredo,Spain,ESP,1765,5,2006-08-28,0,0,2770
11,Andy Murray,United Kingdom,GBR,1755,1,2016-11-07,0,0,12685
12,Tommy Haas,Germany,GER,1720,2,2002-05-13,0,0,3030
13,James Blake,United States,USA,1710,4,2006-11-20,0,0,3550
14,Tomas Berdych,Czech Republic,CZE,1685,4,2015-05-18,0,0,5230
15,Guillermo Canas,Argentina,ARG,1653,8,2005-06-06,0,0,2075
16,Marcos Baghdatis,Cyprus,CYP,1600,8,2006-08-21,0,0,2111
17,Carlos Moya,Spain,ESP,1585,1,1999-03-15,0,0,3516
18,Ivan Ljubicic,Croatia,CRO,1580,3,2006-05-01,0,0,3315
19,Mikhail Youzhny,Russian Federation,RUS,1570,8,2008-01-28,0,0,3500
20,Juan Ignacio Chela,Argentina,ARG,1425,15,2004-08-09,0,0,1510
