rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,9985,1,2008-08-18,0,0,15390
2,Novak Djokovic,Serbia,SRB,9145,1,2011-07-04,0,0,16950
3,Roger Federer,Switzerland,SUI,6590,1,2004-02-02,0,0,12315
4,Dominic Thiem,Austria,AUT,5825,3,2020-03-02,0,0,9125
5,Daniil Medvedev,Russian Federation,RUS,5705,1,2022-02-28,0,0,10780
6,Stefanos Tsitsipas,Greece,GRE,5300,3,2021-08-09,0,0,8350
7,Alexander Zverev,Germany,GER,3345,2,2022-06-13,0,0,8240
8,Matteo Berrettini,Italy,ITA,2870,6,2022-01-31,0,0,5533
9,Roberto Bautista Agut,Spain,ESP,2540,9,2019-11-04,0,0,3215
10,Gael Monfils,France,FRA,2530,6,2016-11-07,0,0,3815
11,David Goffin,Belgium,BEL,2335,7,2017-11-20,0,0,3775
12,Fabio Fognini,Italy,ITA,2290,9,2019-07-15,0,0,2920
13,Kei Nishikori,Japan,JPN,2180,4,2015-03-02,0,0,6385
14,Diego Sebastian Schwartzman,Argentina,ARG,2125,8,2020-10-12,0,0,3765
15,Denis Shapovalov,Canada,CAN,2050,10,2020-09-21,0,0,3625
16,Stan Wawrinka,Switzerland,SUI,2000,3,2014-01-27,0,0,6865
17,Karen Khachanov,Russian Federation,RUS,1840,8,2019-07-15,0,0,2990
18,Alex De Minaur,Australia,AUS,1775,15,2021-06-28,0,0,2690
19,John Isner,United States,USA,1770,8,2018-07-16,0,0,3720
20,Grigor Dimitrov,Bulgaria,BUL,1747,3,2017-11-20,0,0,5150
