rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Andy Murray,United Kingdom,GBR,12410,1,2016-11-07,0,0,12685
2,Novak Djokovic,Serbia,SRB,11780,1,2011-07-04,0,0,16950
3,Milos Raonic,Canada,CAN,5450,3,2016-11-21,0,0,5450
4,Stan Wawrinka,Switzerland,SUI,5315,3,2014-01-27,0,0,6865
5,Kei Nishikori,Japan,JPN,4905,4,2015-03-02,0,0,6385
6,Marin Cilic,Croatia,CRO,3650,3,2018-01-29,0,0,5155
7,Gael Monfils,France,FRA,3625,6,2016-11-07,0,0,3815
8,Dominic Thiem,Austria,AUT,3415,3,2020-03-02,0,0,9125
9,Rafael Nadal,Spain,ESP,3300,1,2008-08-18,0,0,15390
10,Tomas Berdych,Czech Republic,CZE,3060,4,2015-05-18,0,0,5230
11,David Goffin,Belgium,BEL,2750,7,2017-11-20,0,0,3775
12,Jo Wilfried Tsonga,France,FRA,2550,5,2012-02-27,0,0,5230
13,Nick Kyrgios,Australia,AUS,2460,13,2016-10-24,0,0,2460
14,Roberto Bautista Agut,Spain,ESP,2350,9,2019-11-04,0,0,3215
15,Lucas Pouille,France,FRA,2156,10,2018-03-19,0,0,2746
16,Roger Federer,Switzerland,SUI,2130,1,2004-02-02,0,0,12315
17,Grigor Dimitrov,Bulgaria,BUL,2035,3,2017-11-20,0,0,5150
18,Richard Gasquet,France,FRA,1885,7,2007-07-09,0,0,3365
19,John Isner,United States,USA,1850,8,2018-07-16,0,0,3720
20,Ivo Karlovic,Croatia,CRO,1795,14,2008-08-18,0,0,2295
